,0
CRYSTAL AND GLASSWARE STORES,15
DIRECT MARKETING-INBOUND TELEMARKETING MERCHANTS,2
ORGANIZATIONS POLITICAL,3
DIRECT MARKETING-INSURANCE SERVICES,3
LEATHER GOODS AND LUGGAGE STORES,4
MEDIA- BOOKSMOVIESMUSIC,3
ORGANIZATIONS RELIGIOUS,2
AUTOMOBILE ASSOCIATIONS,5
PAINTS VARNISHES AND SUPPLIES,6
RELIGIOUS GOODS STORES,10
CARPENTRY CONTRACTORS,4
STENOGRAPHIC AND SECRETARIAL SUPPORT SERVICES,49
PACKAGE STORES BEER WINE LIQUOR,2
INSULATION MASONRY PLSTER STONEWRK TILESET CNTRCTR,6
MEMBER-AUTOMATED CASH DISBURSEMENT,12
GOLF COURSES-PUBLIC,4
CHIROPRACTORS,1
HAT CLEANING SHOPS SHOE REPAIR SHOPS SHOE SHINE,1
CLEANING GARMENT AND LAUNDRY SERVICES,2
INTRA-GOVERNMENT PURCHASES-GOVERNMENT ONLY,46
MISCELLANEOUS SERVICES,4
DANCE HALLS SCHOOLS AND STUDIOS,2
MOTOR HOME DEALERS,1
LARGE DIGITAL GOODS MERCHANT,13
RECREATIONAL AND SPORTING CAMPS,4
Telecom Incl Prepaid-Recurring Phone Svcs,28819
Direct Marketing-Continuity-Subscription Merchants,6987
Stationery-Office Supplies-Printing Writing Pap,64325
Nondurable Goods Not Elsewhere Classified,5013
Eating Places Restaurants,52983
Miscellaneous And Specialty Retail Stores,9117
Artist Supply Stores Craft Shops,1846
Office Photographic Photocopy Microfilm Equipmt,2646
Business Services-Not Elsewhere Classified,22327
Fast Food Restaurants,26244
Travel,16050
Lodging,30266
Automobile Parking Lots And Garages,16892
Cable Satellite Other Pay Television Radio Svcs,8710
Computers Computer Peripheral Equipment Software,13455
Miscellaneous General Merchandise,3201
Book Stores,56676
Large Digital Goods Merchant,521
Service Stations With Or Without Ancillary Service,4161
Grocery Stores Supermarkets,22952
Direct Marketing-Catalog Merchants,4311
Postal Services-Government Only,7354
Associations-Civic Social And Fraternal,2705
Other Services Not Elsewhere Classified,2506
Direct Marketing-Other Direct Marketers-Not Elsew,6443
Organizations Membership-Not Elsewhere Classified,8655
Electronic Sales,18814
Telecommunication Equipment Incl Telephone Sales,1237
Office School Supply And Stationery Stores,5135
Government Services-Not Elsewhere Classified,20193
Public Warehousing-Farm Refrig Goods Hhg Storage,852
Industrial Supplies Not Elsewhere Classified,34677
Accessory And Apparel Stores-Miscellaneous,895
Advertising Services,7185
Miscellaneous Publishing And Printing,3374
News Dealers And Newsstands,1467
Discount Stores,11721
Airline,19795
Transportation Services Not Elsewhere Classified,1451
Organizations Charitable And Social Services,9660
Home Supply Warehouse Stores,23713
Utlts-Elctrc Gas Heating Oil Sanitary Water,13466
Fuel Dispenser Automated,2151
Freight Carrier Trucking-Lcl-Lng Dist Mvg-Storage,4127
Courier Svc-Air Ground Freight Forwarders,3233
Colleges Univ Pro Schools Junior Colleges,4392
Commercial Art Graphics Photography,932
Professional Services-Not Elsewhere Classified,4115
Schools Educational Svc-Not Elsewhere Classified,11274
Department Stores,843
Computer Network-Information Services,2081
Recreation Services Not Elsewhere Classified,1283
Internal Transaction,3399
Misc Food Store-Convenience Mrkt Splty Vendng Macs,3118
Electronic Repair Shops,1626
Cleaning And Maintenance Janitorial Services,8571
Computer Software Stores,5634
Hardware Stores,13784
Information Retrieval Services,654
Quick Copy Reproduction And Blueprinting Services,1057
Bridge And Road Fees Tolls,2394
Automotive Service Shops,6950
Automotive Parts Accessories Stores,24363
Motor Vehicle Supplies And New Parts,2296
Automotive Tire Stores,1284
Auto Truck Dlrs-Sales Svc Reprs Prts Leasing,4823
Durable Goods Not Elsewhere Classified,5423
Towing Services,185
Plumbing And Heating Equipment,5423
Shoe Stores,1508
Drug Stores Pharmacies,3070
Applications - Excludes Games,236
Sanitation Polishing Speciality Cleaning Prep,978
Wholesale Clubs,4392
Variety Stores,3694
Consulting Management And Public Relations Svcs,837
Car Washes,759
Office And Commercial Furniture,745
Construction Materials Not Elsewhere Classified,4296
Detectve-Protectve Agncy Security Srvs Armor Cars,1538
Comp Programing Data Prcsng Intgrtd Sys Dsgn Srvs,2363
Opticians Optical Goods Eyeglasses,86
Car Rental,1397
Equip Furniture Home Furnshngs Strs Excpt Appl,1182
Hospitals,103
Optometrists Ophthalmologists,375
Dentists Orthodontists,182
Insurance Sales Underwriting And Premiums,647
Second Hand Stores Used Merchandise Stores,244
Gift Card Novelty And Souvenir Shops,1099
Family Clothing Stores,2407
Commercial Equipment Not Elsewhere Classified,10427
Glass Paint Wallpaper Stores,3103
Lawn And Garden Supply Stores,1972
Landscaping And Horticultural Services,418
Misc-Auto-Aircraft-Farm Equip Not Elsewhere Class,3805
Heating Plumbing Air Conditioning Contractors,1250
Petroleum And Petroleum Products,904
Contractors Special Trade-Not Elsewhere Classified,4023
Electrical Parts And Equipment,5992
Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,7645
Miscellaneous Repair Shops And Related Services,1998
Building Materials Lumber Stores,1741
Fuel Dealers-Coal Fuel Oil Liq Petroleum Wood,2163
Funeral Service And Crematories,47
Bar Lounge Disco Nightclub Tavern-Alcoholic Drinks,35
Stenographic And Secretarial Support Services,727
Swimming Pools - Sales And Supplies,97
Exterminating And Disinfecting Services,1161
Caterers,913
Record Shops,456
Books Periodicals And Newspapers,1973
Direct Marketing-Combination Catalog-Retail Merch,3677
Doctors Not Elsewhere Classified,1218
Agricultural Cooperatives,1030
Equipment RentalLeasing Svs Furnture-Tool Rental,1657
Automobile Associations,11
Schools Trade And Vocational,296
Court Costs Including Alimony And Child Support,263
Bowling Alleys,165
Bakeries,589
Fabric Needlework Piece Goods And Sewing Stores,787
Pet Shops - Pet Foods And Supplies,1731
Candy Nut Confectionery Stores,113
Chemicals-Allied Products Not Elsewhere Classified,2441
Orthopedic Goods-Artificial Limb Stores,140
Consumer Credit Reporting Agencies,209
Clubs-Cntry MbrshipAthlet Rec Sprts Private Golf,192
Video Entertainment Rental Stores,69
Motion Picture Theaters,416
Game Toy And Hobby Shops,583
Theatrical ProducersExcl Motion Pix Ticket Agncy,911
Video Amusement Game Supplies,48
Tourist Attractions And Exhibits,369
Video Game Arcades-Establishments,48
Health Practitioners Medical Srvcs-Not Elsewhere,967
Barber And Beauty Shops,60
Mens-Womens-Childrens Uniforms-Commercial Cloth,3242
Sporting Goods Stores,3769
Dry Cleaners,1786
Veterinary Services,960
Hardware Equipment And Supplies,1890
General Contractors-Residential Buildings,856
Alterations Mending Seamstresses Tailors,47
Leather Goods And Luggage Stores,68
Electrical And Small Appliance Repair Shops,143
Photo Developing Photofinishing Laboratories,108
Drapery Upolstery And Window Coverings Stores,178
Household Appliance Stores,321
Floor Covering Stores,178
Miscellaneous House Furnishing Specialty Shops,671
Medical And Dental Laboratories,1528
Tire Retreading And Repair Shops,7
Camper Dealers Recreational And Utility Trailers,477
Antique Shops-Sales Repairs Restoration Services,29
Electrical Contractors,248
Autograph,171
Sports Apparel Riding Apparel Stores,320
Mobile Home Dealers,71
Marinas Marine Service-Supplies,845
Athltic Fields Commrcl Sprt Sprt Clbs Sprt Promotr,108
Metal Service Centers And Offices,167
Music Stores-Instruments Pianos Sheet Music,729
Womens Accessory And Specialty Stores,32
Amusement Parks Carnivals Circus Fortune Tellers,233
Bands Orchestras Misc Entrtnrs-Not Elswhr Clas,177
Boat Dealers,394
Mens And Womens Clothing Stores,1148
Roofing And Siding Sheet Metal Work Contractors,256
Employment Agencies Temporary Help Services,419
Bicycle Shops-Sales And Service,40
Motion Picture-Video Tape Production-Distribution,158
Air Conditioning And Refrigeration Repair Shops,82
Photographic Studios,218
Clothing Rental-Costumes Uniforms Formal Wear,260
Paints Varnishes And Supplies,66
Attorneys Legal Services,256
Camera And Photographic Supply Stores,457
Testing Laboratories Non-Medical,321
Florists,379
Carpet And Upholstery Cleaning,57
Computer Main-Repair-Services Not Elsewhere Class,297
Accounting Auditing And Bookkeeping Services,213
Schools Business And Secretarial,210
Typesetting Plate Making Related Services,35
Child Care Services,85
Art Dealers And Galleries,106
Games,610
Dairy Products Stores,299
Mens And Boys Clothing And Accessories Stores,118
Schools Elementary And Secondary,244
Aquariums Dolphinariums And Seaquariums,75
Piece Goods Notions And Other Dry Goods,196
Childrens And Infants Wear Stores,90
Freezer Locker Meat Provisioners,72
Automobile And Truck Dealers-Used Only-Sales,40
Womens Ready To Wear Stores,118
Fireplace Fireplace Screens Accessories Stores,9
Motorcycle Shops And Dealers,115
Buying-Shopping Clubs Services,11
Drugs Drup Proprietaries And Druggists Supplies,57
Automotive Body Repair Shops,372
Welding Repair,93
Concrete Work Contractors,62
Architectural Engineering And Surveying Services,86
Hearing Aids-Sales Service Supply Stores,61
Ambulance Services,24
Organizations Religious,10
Debt Marriage Personal-Counseling Service,25
Hat Cleaning Shops Shoe Repair Shops Shoe Shine,6
Boat Leases And Boat Rentals,12
Tent And Awning Shops,14
Florist Supplies Nursery Stock Flowers,151
Carpentry Contractors,10
Cosmetic Stores,87
Crystal And Glassware Stores,23
Recreational And Sporting Camps,27
Furniture-Reupholstery And Repair Refinishing,20
Media- BooksMoviesMusic,294
Chiropractors,16
Nursing And Personal Care Facilities,16
Typewriter Stores-Rentals Sales Service,1
Clock Jewelry Watch And Silverware Store,8
Tax Preparation Service,14
Golf Courses-Public,62
Member-Merchandise And Services,5
Organizations Political,27
Salvage And Wrecking Yards,10
Miscellaneous Services,19
Fines,44
Dance Halls Schools And Studios,17
Intra-Government Purchases-Government Only,240
Tax Payments,88
Campgrounds And Trailer Parks,8
Direct Marketing-Insurance Services,24
Motor Home Dealers,2
Insulation Masonry Plster Stonewrk Tileset Cntrctr,28
Cleaning Garment And Laundry Services,17
Duty Free Stores,6
Member-Automated Cash Disbursement,26
Wig And Toupee Shops,7
Stamp Coin Stores-Philatelic Numismatic Supply,10
Commercial Footwear,15
Laundry Services - Family And Commerical,5
Religious Goods Stores,4
Schools Correspondence,10
Pawn Shops,3
Health And Beauty Spas,1
Securities-Brokers-Dealers,1
Snowmobile Dealers,1
Poi Funding - Excl Moneysend,3
Chiropodists Podiatrists,1
Automotive Paint Shops,1
Precious Stones And Metals Watches And Jewelry,2
Cigar Stores And Stands,2
Telegraph Services,1
